charset	iso-8859-1					
						
regular (year=0):						
AT	Neujahr	1	1	0	0	0
AT	Hl. Drei Könige	6	1	0	0	0
AT	Staatsfeiertag	1	5	0	0	0
AT	Maria Himmelfahrt	15	8	0	0	0
AT	Nationalfeiertag	26	10	0	0	0
AT	Allerheiligen	1	11	0	0	0
AT	Maria Empfängnis	8	12	0	0	0
AT	Heiliger Abend	24	12	0	0	0
AT	Christtag	25	12	0	0	0
AT	Stephanitag	26	12	0	0	0
						
2004:
AT	Ostersonntag	11	4	2004	0	0
AT	Ostermontag	12	4	2004	0	0
AT	Christi Himmelfahrt	20	5	2004	0	0
AT	Pfingstsonntag	30	5	2004	0	0
AT	Pfingstmontag	31	5	2004	0	0
AT	Fronleichnam	10	6	2004	0	0
						
2005:
AT	Ostersonntag	27	3	2005	0	0
AT	Ostermontag	28	3	2005	0	0
AT	Pfingstsonntag	15	5	2005	0	0
AT	Pfingstmontag	16	5	2005	0	0
AT	Fronleichnam	26	5	2005	0	0
						
2008:
AT	Ostersonntag	23	3	2008	0	0
AT	Ostermontag	24	3	2008	0	0
AT	Christi Himmelfahrt	1	5	2008	0	0
AT	Pfingstmontag	12	5	2008	0	0
AT	Fronleichnam	22	5	2008	0	0
						
2009:
AT	Ostersonntag	12	4	2009	0	0
AT	Ostermontag	13	4	2009	0	0
AT	Christi Himmelfahrt	21	5	2009	0	0
AT	Pfingstmontag	1	6	2009	0	0
AT	Frohnleichnam	11	6	2009	0	0
						
2010:
AT	Ostersonntag	12	4	2010	0	0
AT	Ostermontag	13	4	2010	0	0
AT	Christi Himmelfahrt	21	5	2010	0	0
AT	Pfingstmontag	1	6	2010	0	0
AT	Frohnleichnam	11	6	2010	0	0
						
2011:
AT	Ostersonntag	4	4	2011	0	0
AT	Ostermontag	5	4	2011	0	0
AT	Christi Himmelfahrt	13	5	2011	0	0
AT	Pfingstmontag	24	5	2011	0	0
AT	Frohnleichnam	3	6	2011	0	0
						
2012:
AT	Ostersonntag	24	4	2012	0	0
AT	Ostermontag	25	4	2012	0	0
AT	Christi Himmelfahrt	2	6	2012	0	0
AT	Pfingstmontag	13	6	2012	0	0
AT	Frohnleichnam	23	6	2012	0	0
						
2013:
AT	Ostersonntag	8	4	2013	0	0
AT	Ostermontag	9	4	2013	0	0
AT	Christi Himmelfahrt	16	5	2013	0	0
AT	Pfingstmontag	27	5	2013	0	0
AT	Frohnleichnam	6	6	2013	0	0
						
2014:
AT	Ostersonntag	31	3	2014	0	0
AT	Ostermontag	1	4	2014	0	0
AT	Christi Himmelfahrt	8	5	2014	0	0
AT	Pfingstmontag	19	5	2014	0	0
AT	Frohnleichnam	29	5	2014	0	0
						
2015:
AT	Ostersonntag	20	4	2015	0	0
AT	Ostermontag	21	4	2015	0	0
AT	Christi Himmelfahrt	29	5	2015	0	0
AT	Pfingstmontag	9	6	2015	0	0
AT	Frohnleichnam	19	6	2015	0	0
